ESPT_CD_ID;EMBA_CD_ID;PORT_CD_ID_ORIGEM;PORT_CD_ID_DESTINO;ESPT_TX_NUM_ESCALA;ESPT_DT_QTO_BOLETIM;ESPT_DT_QTP_BOLETIM;ESPT_NR_DIST_NAVEGADA;ESPT_NR_DIST_TABELADA;ESPT_NR_COMB_EXI_MFO;ESPT_NR_OLEO_PESADO;ESPT_NR_COMB_EXI_MDO_MGO;ESPT_NR_OLEO_DIESEL;ESPT_MD_VELOC_TP;ESPT_MD_CONS_FO;ESPT_MD_CONS_DO;ESPT_IN_CARGA_LASTRO;CEVG_NR_TEMPO;CEVG_NR_OLEO_PESADO;CEVG_NR_OLEO_DIESEL;CEVG_NR_DISTANCIA_NAV;CONSUMO_FO_VIAGEM;CONSUMO_DO_VIAGEM;CONSUMO_TOTAL;CONSUMO_MEDIO_VIAGEM;CONSUMO_FO_DCE;CONSUMO_DO_DCE;CONSUMO_TOTAL_DCE;CONSUMO_MEDIO_DCE;CONSUMO_DO_FCE;CONSUMO_FO_FCE;CONSUMO_TOTAL_FCE;CONSUMO_MEDIO_FCE;VELOC_MEDIA_VIAGEM;VELOC_MEDIA_FCE;VELOC_MEDIA_DCE;TEMPO_VIAGEM
215147;0RRF;ARAP;MAUS;257;3/19/2014 10:30 AM;3/27/2014 9:42 PM;2233;2233;421.3;55;631;55;12;31;0;C;84;96.4;0;868;209.7;0;209.7;10.65;96.4;0;96.4;9;0;113.3;113.3;12.05;11;11.47;10.33;203
221791;1LH8;ARAP;MAUS;101;10/1/2014 11:00 AM;10/9/2014 6:00 AM;2055;2055;552.6;24.27;737.66;38.25;13.5;31.5;1.8;C;91;80;7.04;883;185.06;13.98;199.04;10.32;80;7.04;87.04;10.14;6.94;105.06;112;10.46;0.35;0.2;9.7;5827
226398;0RRF;ARAP;MAUS;347;2/16/2015 4:00 PM;2/25/2015 4:30 AM;2237;2237;738.9;124.1;943.7;124.1;12;28.5;0;C;83.5;88.8;0;871;204.8;0;204.8;10.92;88.8;0;88.8;9.81;0;116;116;11.78;10.97;11.34;10.43;204
226757;0UU8;ARAP;MAUS;357;3/9/2015 11:00 AM;3/18/2015 9:00 AM;2313;2313;400.3;47.3;607.7;48.1;12;28;0;C;81;83;0.8;830;207.4;0.8;208.2;11.11;83;0.8;83.8;9.9;0;124.4;124.4;11.92;10.81;11.15;10.25;214
237189;0RRF;ARAP;MAUS;451;3/6/2016 11:30 AM;3/15/2016 2:18 AM;2317;2317;511.1;85.3;714.8;85.3;12;28.5;0;C;81.5;89.3;0;886;203.7;0;203.7;11.37;89.3;0;89.3;9.92;0;114.4;114.4;12.51;11.25;11.49;10.87;206
238366;0RRF;ARAP;MAUS;459;4/9/2016 10:30 AM;4/17/2016 7:30 PM;2254;2254;502.9;116.4;680;116.4;12;28.5;0;C;84.05;80.8;0;889;177.1;0;177.1;12.73;80.8;0;80.8;11;0;96.3;96.3;14.17;11.21;11.67;10.58;201
128128;120;ARAP;SALV;1211;11/17/2009 12:00 PM;11/17/2009 11:30 PM;182;182;634.97;153.89;643.97;155.8;12;24;1;L;1.7;1.72;0.07;15;9;1.91;10.91;16.68;1.72;0.07;1.79;8.38;1.84;7.28;9.12;18.31;16.55;17.96;8.82;11
125549;120;ARAP;XARE;1199;11/2/2009 7:00 PM;11/5/2009 1:00 AM;689;689;765.6;93.59;806.6;102.49;12;24;1;L;10.1;10.51;0.41;83;41;8.9;49.9;13.81;10.51;0.41;10.92;7.6;8.49;30.49;38.98;15.55;0.33;0.29;8.22;2118
130948;120;ARAP;XARE;1221;12/4/2009 11:00 PM;12/7/2009 10:00 AM;689;689;871.28;120;919.28;130.21;12;24;1;L;8.83;8.85;0.34;80;48;10.21;58.21;11.84;8.85;0.34;9.19;8.71;9.87;39.15;49.02;12.42;0.32;0.28;9.06;2171
227320;0RRF;ARAP;XARE;353;3/12/2015 11:00 AM;3/20/2015 5:30 PM;2361;2361;329.3;103.7;513.3;103.7;12;28.5;0;C;33.4;22.5;0;326;184;0;184;12.83;22.5;0;22.5;14.49;0;161.5;161.5;12.6;11.92;12.36;9.76;198
216301;108Z;ARAT;MAUS;161;4/20/2014 3:00 AM;4/25/2014 6:30 AM;2536;2520;579.9;103.1;865.4;103.1;12;34;0;C;82.5;109;0;873;285.5;0;285.5;8.88;109;0;109;8.01;0;176.5;176.5;9.42;20.62;41.06;10.58;123
115390;136;ARAT;RIOJ;1081;7/1/2009 5:30 AM;7/4/2009 10:00 AM;850;750;630;75;698;81;;;;C;4;0.8;0.12;24;68;6;74;11.49;0.8;0.12;0.92;26.09;5.88;67.2;73.08;11.3;0.39;0.38;6;2164
100825;125;ARAT;SALV;1149;1/29/2009 6:00 PM;1/29/2009 7:30 PM;12;12;136.53;73.35;137.05;73.5;12;20;3.5;C;1.5;0.52;0.15;12;0.52;0.15;0.67;17.91;0.52;0.15;0.67;17.91;0;0;0;0;12;0;8;1
105754;139;ARAT;SALV;963;3/10/2009 5:20 PM;3/10/2009 6:30 PM;15;15;844.82;102.94;845.55;102.96;12.3;23;0.5;C;1.17;0.73;0.02;15;0.73;0.02;0.75;20;0.73;0.02;0.75;20;0;0;0;0;15;0;12.82;1
114434;136;ARAT;SALV;1075;6/14/2009 11:35 PM;6/15/2009 1:00 AM;750;750;835.06;94.13;818;70;;;;C;5.25;0;0;33;-17.06;-24.13;-41.19;-18.21;0;0;0;;-24.13;-17.06;-41.19;-17.41;750;-168.71;6.29;1
124615;7396;ARAT;SALV;417;10/29/2009 12:30 AM;10/29/2009 1:54 AM;22;22;477.7;61.8;479;61.8;14.5;39;0;C;1.4;1.3;0;12;1.3;0;1.3;16.92;1.3;0;1.3;9.23;0;0;0;0;22;-25;8.57;1
141672;139;ARAT;SALV;1095;5/16/2010 7:40 AM;5/16/2010 9:00 AM;15;15;730.5;55.15;731.5;55.71;12.3;23;0.5;C;1.33;1;0.56;15;1;0.56;1.56;9.62;1;0.56;1.56;9.62;0;0;0;0;15;0;11.28;1
142878;2100;ARAT;SALV;281;6/8/2010 11:00 PM;6/9/2010 12:20 AM;10;10;660;177.7;661;177.7;14;27;0.1;L;1.33;1.1;0;10;1;0;1;10;1.1;0;1.1;9.09;0;-0.1;-0.1;0;0.01;0;7.52;721
168035;131;ARAT;SALV;1201;8/2/2011 2:00 AM;8/2/2011 3:40 AM;20;22;633.53;132.22;633.99;133.26;12;23;1;C;0.65;0.46;1.03;20;0.46;1.04;1.5;13.33;0.46;1.03;1.49;13.42;0.01;0;0.01;0;20;0;30.77;1
170133;0P9L;ARAT;SALV;191;10/7/2011 6:06 PM;10/7/2011 7:06 PM;11;22;676.3;68.3;677.1;68.4;12.5;37.2;0.2;C;0.96;0.8;0.1;11;0.8;0.1;0.9;12.22;0.8;0.1;0.9;12.22;0;0;0;0;11;0;11.46;1
178513;7469;ARAT;SALV;573;7/1/2012 8:30 AM;7/1/2012 9:48 AM;12;12;542;31.4;542.8;31.4;12;31;0;C;1.3;0.8;0;12;0.8;0;0.8;15;0.8;0;0.8;15;0;0;0;0;12;0;9.23;1
188276;7469;ARAT;SALV;601;11/12/2012 3:12 AM;11/12/2012 4:42 AM;12;12;1151;73.5;1151.8;73.5;12;31;0;C;1.5;0.8;0;12;0.8;0;0.8;15;0.8;0;0.8;15;0;0;0;0;12;0;8;1
171462;6810;ARAT;SUAP;793;11/2/2011 6:30 PM;11/4/2011 1:30 AM;394;394;405.5;66.9;450.5;66.9;14;37;0;C;1.5;2.5;0;14;45;0;45;8.76;2.5;0;2.5;5.6;0;42.5;42.5;8.94;0.28;0.27;9.33;1399
268474;1A96;ARUI;STCH;59;6/22/2018 5:00 AM;6/27/2018 5:18 AM;1568;1568;261.49;220.85;343.54;250.34;12;26;0;L;21.2;0;23.5;276;82.05;29.49;111.54;14.06;0;23.5;23.5;11.74;5.99;82.05;88.04;14.68;13.07;13.08;13.02;120
129888;0MBY;ARUI;STIA;27;11/16/2009 4:45 AM;11/27/2009 4:45 AM;3808;3751;700.4;58.7;1045.4;70.9;14.5;34;0;L;2.75;0;0;45;345;12.2;357.2;10.66;0;0;0;;12.2;345;357.2;10.53;14.42;14.4;16.36;264
181939;0NFG;ARZE;STIA;187;9/6/2012 8:00 AM;9/22/2012 1:00 AM;4689;4599;1873.7;40.7;2709.7;41.1;10;35.8;0.4;C;4.5;9.5;0;52;836;0.4;836.4;5.61;9.5;0;9.5;5.47;0.4;826.5;826.9;5.61;1.87;1.85;11.56;2513
228251;17JX;BADO;FAZE;247;4/23/2015 11:00 AM;4/30/2015 9:30 AM;2150;2150;629.9;64.9;817;64.9;12.5;35.5;0;C;16;18.9;0;176;187.1;0;187.1;11.49;18.9;0;18.9;9.31;0;168.2;168.2;11.74;12.95;13.16;11;166
237108;17MJ;BADO;FAZE;465;3/3/2016 6:00 PM;3/9/2016 8:00 AM;2074;2071;724;146;922;151;13;30;1;C;11.41;17;1;170;198;5;203;10.22;17;1;18;9.44;4;181;185;10.29;0.47;0.43;14.9;4406
242904;0YLN;BADO;FLZA;691;9/30/2016 7:48 AM;10/3/2016 11:12 PM;1203;1208;297.08;56.01;;;14.5;18;1.25;C;87.4;49.49;4.93;1203;;;;;49.49;4.93;54.42;22.11;;;;;13.83;0;13.76;87
196487;7396;BADO;MAUS;795;4/7/2013 4:30 PM;4/17/2013 1:00 PM;2759;2759;558.3;52.3;845.9;52.3;13;32;0;C;79.9;103.8;0;864;287.6;0;287.6;9.59;103.8;0;103.8;8.32;0;183.8;183.8;10.31;11.69;12.14;10.81;236
215535;0F3V;BADO;MAUS;579;3/23/2014 2:00 PM;4/3/2014 10:30 PM;2814;2814;781.5;29.6;1040.6;35.2;11;20;0.5;C;74.38;99.1;1.53;722;259.1;5.6;264.7;10.63;99.1;1.53;100.63;7.17;4.07;160;164.07;12.75;10.35;10.59;9.71;272
213908;0U7H;BADO;PALR;429;2/6/2014 4:30 AM;2/10/2014 11:00 AM;1194;1196;379.85;48.49;414.85;53.09;13;13;1;C;15.7;5.67;0.83;183;35;4.6;39.6;30.15;5.67;0.83;6.5;28.15;3.77;29.33;33.1;30.54;0.41;0.35;11.66;2934
214717;0U7H;BADO;PALR;439;2/27/2014 2:42 AM;3/3/2014 12:00 PM;1194;1194;326.19;47.36;366.5;51.91;13;13;1;C;16.2;8.77;1.75;183;40.31;4.55;44.86;26.62;8.77;1.75;10.52;17.4;2.8;31.54;34.34;29.44;11.37;11.39;11.3;105
214924;0U7H;BADO;PALR;443;3/10/2014 5:42 AM;3/14/2014 11:48 AM;1194;1194;249.03;36.31;286.84;40.65;13;13;1;C;16.6;8.99;1.79;181;37.81;4.34;42.15;28.33;8.99;1.79;10.78;16.79;2.55;28.82;31.37;32.29;11.71;11.86;10.9;102
215384;08J6;BADO;PALR;55;3/16/2014 5:18 PM;3/20/2014 11:18 AM;1178;1180;347.65;83.7;384.92;88.03;13;13.8;1;C;16.7;6.2;1.47;177;37.27;4.33;41.6;28.32;6.2;1.47;7.67;23.08;2.86;31.07;33.93;29.5;13.09;13.66;10.6;90
215638;0U7H;BADO;PALR;449;3/20/2014 7:00 PM;3/25/2014 11:30 AM;1194;1194;387.35;64.86;430.61;69.84;13;13;1;C;15.7;8.5;1.7;183;43.26;4.98;48.24;24.75;8.5;1.7;10.2;17.94;3.28;34.76;38.04;26.58;10.66;10.5;11.66;112
216266;0U7H;BADO;PALR;455;4/13/2014 7:12 AM;4/17/2014 12:12 PM;1194;1196;300.83;40.61;343.9;45.43;13;13;1;C;16.6;6.04;1.1;181;43.07;4.82;47.89;24.93;6.04;1.1;7.14;25.35;3.72;37.03;40.75;24.86;11.82;12;10.9;101
217191;0U7H;BADO;PALR;465;5/5/2014 3:24 PM;5/9/2014 12:06 PM;1195;1197;324.74;17.41;363.28;21.59;13;13;1;C;15.4;5.44;0.95;182;38.54;4.18;42.72;27.97;5.44;0.95;6.39;28.48;3.23;33.1;36.33;27.88;0.41;0.35;11.82;2948
217503;08J6;BADO;PALR;71;5/12/2014 12:12 PM;5/16/2014 11:48 AM;1180;1200;359.25;80.59;398.85;85.33;13;13.8;1;C;15.9;6.25;1.35;175;39.6;4.74;44.34;26.61;6.25;1.35;7.6;23.03;3.39;33.35;36.74;27.35;12.42;12.71;11.01;95
