"ESPT_CD_ID","EMBA_CD_ID","PORT_CD_ID_ORIGEM","PORT_CD_ID_DESTINO","ESPT_TX_NUM_ESCALA","CEVG_DT_INICIO","ESPT_DT_QTO_BOLETIM","ESPT_DT_QTP_BOLETIM","ESPT_NR_DIST_NAVEGADA","ESPT_NR_DIST_TABELADA","ESPT_NR_COMB_EXI_MFO","ESPT_NR_OLEO_PESADO","ESPT_NR_COMB_EXI_MDO_MGO","ESPT_NR_OLEO_DIESEL","ESPT_MD_VELOC_TP","ESPT_MD_CONS_FO","ESPT_MD_CONS_DO","ESPT_IN_CARGA_LASTRO","CEVG_NR_TEMPO","CEVG_NR_OLEO_PESADO","CEVG_NR_OLEO_DIESEL","CEVG_NR_DISTANCIA_NAV","CONSUMO_FO_VIAGEM","CONSUMO_DO_VIAGEM","CONSUMO_TOTAL","CONSUMO_MEDIO_VIAGEM","CONSUMO_FO_DCE","CONSUMO_DO_DCE","CONSUMO_TOTAL_DCE","CONSUMO_MEDIO_DCE","CONSUMO_DO_FCE","CONSUMO_FO_FCE","CONSUMO_TOTAL_FCE","CONSUMO_MEDIO_FCE","VELOC_MEDIA_VIAGEM","VELOC_MEDIA_FCE","VELOC_MEDIA_DCE","TEMPO_VIAGEM","DELETED","DELETION_DATE","INSERT_DATE","UPDATE_DATE"
234216,"139","BAIR","STIA","1507",,17/11/2015 11:35:00,22/11/2015 05:00:00,1041,1036,204,32,270,43,12,3,22,5,0,5,"L",32,74,17,2,0,51,66,11,77,13,52,17,2,0,17,2,2,97,11,48,8,59,8,16,56,9,21,12,33,1,56,113,0,,,
105132,"0F3V","BAIR","TEJA","27",,15/03/2009 16:30:00,16/03/2009 09:30:00,120,120,811,6,90,8,823,6,90,8,14,34,0,5,"C",17,12,0,120,12,0,12,10,12,0,12,10,0,0,0,0,7,06,0,7,06,17,0,,,
107549,"0F3V","BAIR","TEJA","35",,31/03/2009 16:00:00,01/04/2009 03:30:00,126,126,599,1,76,8,611,8,76,8,14,34,0,5,"C",11,5,12,7,0,126,12,7,0,12,7,9,92,12,7,0,12,7,9,92,0,0,0,0,11,45,0,10,96,11,0,,,
109671,"0F3V","BAIR","TEJA","41",,09/04/2009 23:12:00,10/04/2009 11:36:00,145,145,423,65,4,435,9,65,4,14,34,0,5,"C",12,4,12,9,0,145,12,9,0,12,9,11,24,12,9,0,12,9,11,24,0,0,0,0,0,2,0,11,69,708,0,,,
114072,"139","BAIR","TEJA","1003",,13/06/2009 04:55:00,13/06/2009 12:30:00,85,85,505,2,121,58,510,57,124,57,,,,"C",7,58,5,37,2,99,85,5,37,2,99,8,36,10,17,5,37,2,99,8,36,10,17,0,0,0,0,12,14,0,11,21,7,0,,,
115944,"7656","BAIR","TEJA","369",,22/07/2009 16:30:00,25/07/2009 08:30:00,130,130,287,2,79,8,296,6,79,8,,,,"C",9,5,9,4,0,130,9,4,0,9,4,13,83,9,4,0,9,4,13,83,0,0,0,0,2,03,0,13,68,64,0,,,
150131,"115","BAIR","ZALF","1271",,17/09/2010 20:30:00,18/09/2010 05:15:00,102,124,143,33,5,148,35,13,5,14,5,2,5,"L",7,75,4,36,0,81,102,5,1,5,6,5,15,69,4,36,0,81,5,17,19,73,0,69,0,64,1,33,0,12,75,0,13,16,8,0,,,
142596,"118","BAIR","ZOCO","1445",,21/05/2010 11:30:00,21/05/2010 13:40:00,31,31,29,49,7,30,50,12,2,18,5,3,"L",2,17,1,0,3,31,1,0,3,1,3,23,85,1,0,3,1,3,23,85,0,0,0,0,15,5,0,14,29,2,0,,,
153084,"121","BAIR","ZOCO","1429",,24/11/2010 03:00:00,24/11/2010 05:30:00,31,31,34,54,35,55,12,2,18,5,3,"L",2,5,1,5,0,31,31,1,1,2,15,5,1,5,0,31,1,81,17,13,0,69,-0,5,0,19,0,15,5,0,12,4,2,0,,,
225721,"138","BAIR","ZOCO","1485",,19/01/2015 13:30:00,19/01/2015 17:30:00,29,30,134,31,137,31,12,3,22,5,0,5,"L",1,5,2,05,0,16,3,0,3,9,67,2,05,0,2,05,7,8,0,0,95,0,95,13,68,7,25,5,2,10,67,4,0,,,
101013,"0BOJ","BALB","CRIS","39",,23/01/2009 01:30:00,23/01/2009 09:30:00,43,43,959,2,67,5,999,70,14,32,0,"L",7,98,39,8,2,5,43,39,8,2,5,42,3,1,02,39,8,2,5,42,3,1,02,0,0,0,0,5,38,0,5,39,8,0,,,
