"ID_ANALISE","COND_ESPECIAL","ORIGEM_PORTO","DESTINO_PORTO","DISTANCIA_AREA_RESTRITA_HISTORICO","TEMPO_AREA_RESTRITA_HISTORICO","CONSUMO_AREA_RESTRITA_HISTORICO","VEREDITO_DISTANCIA","VEREDITO_DURACAO","VEREDITO_CONSUMO","VEREDITO_CONDICAO_ESPECIAL","DISTANCIA_AREA_RESTRITA","TEMPO_AREA_RESTRITA","CONSUMO_AREA_RESTRITA","CARGA_LASTRO","NAVIO","DISTANCIA_PORCENTAGEM","TEMPO_PORCENTAGEM","CONSUMO_PORCENTAGEM"
"10285","281131","FAZE","MAUS","288.3611","26.556526","29.627085","0","0","0","0","708","94","71.4","C","1LPY","145.52548","253.96198","140.9957"
"10286","281175","SUAP","FAZE","194.72223","17.168333","19.551668","1","0","1","0","160","13","17.6","C","1HZM","-17.83167","-24.279196","-9.982103"
"10287","281179","ITAC","SALV","819.7143","51.414284","58.225716","1","1","1","1","751","50.3","52.8","L","09XB","-8.382713","-2.1672666","-9.318418"
"10288","281189","SALV","BELM","81.5","6.0275","6.2191663","1","1","1","1","84","5.3","5.9","C","1HQM","3.0674815","-12.069678","-5.131978"
"10289","281190","BELM","MAUS","852.3582","69.99224","37.181194","0","0","1","0","1077","92.2","36.74","L","1YLJ","26.355326","31.728888","-1.1866033"
"10290","281233","NORC","SUAP","83","10","11.4","1","1","1","1","83","10","11.4","C","0RRF","0","0","0"
"10291","281234","MAUS","NORC","944.5","71.75","68.3","1","1","1","1","1073","76","66.5","L","0RRF","13.605082","5.9233427","-2.6354373"
"10292","281253","MAUS","COAR","235.31624","23.401955","14.880716","1","1","0","0","238","22.4","9.8","L","1YLJ","1.1404872","-4.2815027","-34.142952"
"10293","281340","MAUS","COAR","235.31624","23.401955","14.880716","1","1","1","1","231","21.58","13.54","L","20Y4","-1.8342316","-7.7854815","-9.009754"
"10294","281344","COAR","MAUS","235.30624","14.136591","10.62653","0","0","0","0","13","0.75","0.44","C","20Y4","-94.47529","-94.69462","-95.85942"
"10295","281414","ITAC","SUAP","830.6667","57.024998","60.845","1","1","1","1","915","66","60.38","C","1CQ3","10.152483","15.738714","-0.76423883"
"10296","281419","ITAC","MAUS","103.01923","9.172115","10.700768","1","1","1","1","108","10.8","12.1","C","17HL","4.834795","17.748188","13.075995"
"10297","281502","COAR","BELM","1157.102","70.29336","38.67143","1","1","1","1","1124","66.3","34.55","C","1YJC","-2.8607726","-5.6809845","-10.657555"
"10298","281508","CHRI","SUAP","234","15.5","19.21","1","1","1","1","234","15.5","19.21","C","12BF","0","0","0"
"10299","281574","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","628","70","70.1","C","6826","90.701584","145.51303","145.10193"
"10300","281648","BELM","MAUS","852.3582","69.99224","37.181194","1","1","0","0","931","74.2","51.94","L","1YIH","9.226381","6.0117483","39.694275"
"10301","281756","RNDE","PALR","158.93814","17.095259","8.127424","0","0","0","0","29","2.5","1.29","C","1X5F","-81.75391","-85.37606","-84.127815"
"10302","281757","PALR","RNDE","156.90805","15.968277","7.6451726","1","1","0","0","146","19","9.349999","L","25R5","-6.9518747","18.985916","22.299385"
"10303","281772","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","615","65.5","59","C","1HZM","86.75393","129.73006","106.29122"
"10304","281776","SAOL","SALV","194.16667","13.8550005","13.986668","0","0","0","0","36","3","3","L","1OA6","-81.45923","-78.34717","-78.551"
"10305","281800","COAR","BELM","1157.102","70.29336","38.67143","1","1","1","1","1297","82.5","33.49","C","1YLJ","12.090373","17.365288","-13.398594"
