"ID_ANALISE","ID_COND_ESPECIAL","ORIGEM_PORTO","DESTINO_PORTO","DISTANCIA_AREA_RESTRITA_HISTORICO","TEMPO_AREA_RESTRITA_HISTORICO","CONSUMO_AREA_RESTRITA_HISTORICO","VEREDITO_DISTANCIA","VEREDITO_DURACAO","VEREDITO_CONSUMO","VEREDITO_CONDICAO_ESPECIAL","DISTANCIA_AREA_RESTRITA","TEMPO_AREA_RESTRITA","CONSUMO_AREA_RESTRITA","CARGA_LASTRO","NAVIO","DISTANCIA_PORCENTAGEM","TEMPO_PORCENTAGEM","CONSUMO_PORCENTAGEM"
"9659","290275","ITAC","MAUS","103.01923","9.172115","10.700768","1","1","0","0","101","9.5","8.8","C","290V","-1.960057","3.5748005","-17.76291"
"9660","290338","SUAP","HOUS","208.8","17.6","22.399998","1","1","0","0","201","17.2","18.6","L","9778","-3.7356317","-2.272725","-16.964275"
"9661","290362","SUAP","HOUS","208.8","17.6","22.399998","1","0","0","0","210","21.1","25.1","L","1M9E","0.574708","19.886362","12.053585"
"9662","290372","MAUS","COAR","235.31624","23.401955","14.880716","1","0","0","0","236","20.4","10.83","L","1YIH","0.29057264","-12.827796","-27.221245"
"9663","290413","BELM","MAUS","852.3582","69.99224","37.181194","0","0","0","0","1074","79.7","54.2","L","1YIH","26.00336","13.869762","45.772625"
"9664","290417","ITAC","MAUS","103.01923","9.172115","10.700768","1","1","0","0","107","9.5","16.9","C","0441","3.8640976","3.5748005","57.93258"
"9665","290418","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","620","59","94.6","C","0441","88.27226","106.93243","230.76523"
"9666","290420","SUAP","FAZE","194.72223","17.168333","19.551668","0","0","0","0","325","28.5","8.4","C","0441","66.90441","66.003296","-57.03691"
"9667","290434","ITAC","SALV","819.7143","51.414284","58.225716","0","1","0","0","610","55","48","L","1HZM","-25.583828","6.9741607","-17.562199"
"9668","290451","SING","TAPE","11.555555","1.1922221","0.89666665","0","0","0","0","22","3.5","1.77","C","22TQ","90.38461","193.56944","97.397766"
"9669","290452","TAPE","SING","20","2.4","4.1","0","0","0","0","34","3.3","4.7","C","22TQ","70.00001","37.49999","14.634144"
"9670","290493","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","611","58.2","45.7","C","290V","85.53927","104.12655","59.78829"
"9671","290517","SING","TAPE","11.555555","1.1922221","0.89666665","0","0","0","0","4","0.45","0","C","1V1P","-65.38461","-62.25536","-100"
"9672","290519","BADO","PALR","174","16.844194","8.7329035","1","1","0","0","176","17.98","10.48","C","25R5","1.1494279","6.743002","20.005905"
"9673","290553","SAOL","MAUS","830.75","69.49","52.6825","0","1","0","0","719","75.7","29.21","L","28VV","-13.451701","8.936537","-44.554646"
"9674","290554","MAUS","COAR","235.31624","23.401955","14.880716","1","1","0","0","231","22.7","9.5","L","28VV","-1.8342316","-2.99955","-36.158985"
"9675","290575","COAR","BELM","1157.102","70.29336","38.67143","1","1","1","1","1124","72.7","37.070004","C","1YJC","-2.8607726","3.4237027","-4.141104"
"9676","290619","MAUS","ITAC","103.29032","5.9573116","7.444945","0","1","0","0","115","6.5","11","C","1BW2","11.33666","9.109616","47.75126"
"9677","290623","ITAC","MAUS","103.01923","9.172115","10.700768","1","1","0","0","109","10","18.5","C","1HZM","5.8054805","9.026098","72.88477"
"9678","290625","SUAP","FAZE","194.72223","17.168333","19.551668","0","0","0","0","160","12","1.5","C","1HZM","-17.83167","-30.103874","-92.32802"
"9679","290633","CABE","BELM","80.5","6.25","7.135","0","0","0","0","62","4.2","5.2","C","23HS","-22.981363","-32.8","-27.119839"
"9680","290635","ITAC","MAUS","103.01923","9.172115","10.700768","1","0","0","0","108","10.5","9.3","C","17MT","4.834795","14.477407","-13.090354"
"9681","290636","MAUS","COAR","235.31624","23.401955","14.880716","0","0","0","0","190","19","11.08","L","20Y4","-19.257593","-18.8102","-25.541222"
